"GSS_CODEDZ","DZ_Name","GSS_CODECA","CA_Name","GSS_CODEIZ","MYD02SSH_A20170910Av1_v601_7200_3601_uvb__8b.edit"
"S01001973",NA,"S12000036","Edinburgh_City_of","S02000366",0.00385304511490744
"S01001974",NA,"S12000036","Edinburgh_City_of","S02000360",0.0028450277790711
"S01001975",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001976",NA,"S12000036","Edinburgh_City_of","S02000364",0.00568665737357531
"S01001977",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
"S01001978",NA,"S12000036","Edinburgh_City_of","S02000362",0.00286543349652627
"S01001979",NA,"S12000036","Edinburgh_City_of","S02000360",0.0028450277790711
"S01001980",NA,"S12000036","Edinburgh_City_of","S02000365",0.0028450277790711
"S01001981",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001982",NA,"S12000036","Edinburgh_City_of","S02000354",0.00286543349652627
"S01001983",NA,"S12000036","Edinburgh_City_of","S02000361",0.00568665737357531
"S01001984",NA,"S12000036","Edinburgh_City_of","S02000373",0.0028450277790711
"S01001985",NA,"S12000036","Edinburgh_City_of","S02000366",0.00385304511490744
"S01001986",NA,"S12000036","Edinburgh_City_of","S02000365",0.0028450277790711
"S01001987",NA,"S12000036","Edinburgh_City_of","S02000371",0.00568665737357531
"S01001988",NA,"S12000036","Edinburgh_City_of","S02000366",0.00385304511490744
"S01001989",NA,"S12000036","Edinburgh_City_of","S02000364",0.00568665737357531
"S01001990",NA,"S12000036","Edinburgh_City_of","S02000371",0.0028450277790711
"S01001991",NA,"S12000036","Edinburgh_City_of","S02000372",0.00385304511490744
"S01001992",NA,"S12000036","Edinburgh_City_of","S02000370",0.00568665737357531
"S01001993",NA,"S12000036","Edinburgh_City_of","S02000360",0.0028450277790711
"S01001994",NA,"S12000036","Edinburgh_City_of","S02000365",0.0028450277790711
"S01001995",NA,"S12000036","Edinburgh_City_of","S02000363",0.00385304511490744
"S01001996",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01001997",NA,"S12000036","Edinburgh_City_of","S02000373",0.0028450277790711
"S01001998",NA,"S12000036","Edinburgh_City_of","S02000372",0.00385304511490744
"S01001999",NA,"S12000036","Edinburgh_City_of","S02000371",0.00568665737357531
"S01002000",NA,"S12000036","Edinburgh_City_of","S02000368",0.00286543349652627
"S01002001",NA,"S12000036","Edinburgh_City_of","S02000377",0.0028450277790711
"S01002002",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002003",NA,"S12000036","Edinburgh_City_of","S02000368",0.00567071413450817
"S01002004",NA,"S12000036","Edinburgh_City_of","S02000375",0.0028450277790711
"S01002005",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
"S01002006",NA,"S12000036","Edinburgh_City_of","S02000368",0.00286543349652627
"S01002007",NA,"S12000036","Edinburgh_City_of","S02000373",0.0028450277790711
"S01002008",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01002009",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002010",NA,"S12000036","Edinburgh_City_of","S02000371",0.00568665737357531
"S01002011",NA,"S12000036","Edinburgh_City_of","S02000363",0.0027772829403622
"S01002012",NA,"S12000036","Edinburgh_City_of","S02000375",0.0028450277790711
"S01002013",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002014",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002015",NA,"S12000036","Edinburgh_City_of","S02000363",0.00385304511490744
"S01002016",NA,"S12000036","Edinburgh_City_of","S02000375",0.0028450277790711
"S01002017",NA,"S12000036","Edinburgh_City_of","S02000378",0.00286543349652627
"S01002018",NA,"S12000036","Edinburgh_City_of","S02000366",0.00385304511490744
"S01002019",NA,"S12000036","Edinburgh_City_of","S02000371",0.00568665737357531
"S01002020",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002021",NA,"S12000036","Edinburgh_City_of","S02000367",0.00385304511490744
"S01002022",NA,"S12000036","Edinburgh_City_of","S02000391",0.00287841504608582
"S01002023",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01002024",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01002025",NA,"S12000036","Edinburgh_City_of","S02000375",0.0028450277790711
"S01002026",NA,"S12000036","Edinburgh_City_of","S02000372",0.00385304511490744
"S01002027",NA,"S12000036","Edinburgh_City_of","S02000379",0.00568665737357531
"S01002028",NA,"S12000036","Edinburgh_City_of","S02000370",0.00568665737357531
"S01002029",NA,"S12000036","Edinburgh_City_of","S02000371",0.00568665737357531
"S01002030",NA,"S12000036","Edinburgh_City_of","S02000375",0.0028450277790711
"S01002031",NA,"S12000036","Edinburgh_City_of","S02000373",0.0028450277790711
"S01002032",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01002033",NA,"S12000036","Edinburgh_City_of","S02000377",0.0028450277790711
"S01002034",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002035",NA,"S12000036","Edinburgh_City_of","S02000372",0.00385304511490744
"S01002036",NA,"S12000036","Edinburgh_City_of","S02000373",0.0028450277790711
"S01002037",NA,"S12000036","Edinburgh_City_of","S02000374",0.00568665737357531
"S01002038",NA,"S12000036","Edinburgh_City_of","S02000371",0.0028450277790711
"S01002039",NA,"S12000036","Edinburgh_City_of","S02000382",0.00286543349652627
"S01002040",NA,"S12000036","Edinburgh_City_of","S02000375",0.0028450277790711
"S01002041",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01002042",NA,"S12000036","Edinburgh_City_of","S02000383",0.00385304511490744
"S01002043",NA,"S12000036","Edinburgh_City_of","S02000380",0.00385304511490744
"S01002044",NA,"S12000036","Edinburgh_City_of","S02000378",0.00286543349652627
"S01002045",NA,"S12000036","Edinburgh_City_of","S02000363",0.00385304511490744
"S01002046",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002047",NA,"S12000036","Edinburgh_City_of","S02000376",0.0028450277790711
"S01002048",NA,"S12000036","Edinburgh_City_of","S02000379",0.00568665737357531
"S01002049",NA,"S12000036","Edinburgh_City_of","S02000370",0.00568665737357531
"S01002050",NA,"S12000036","Edinburgh_City_of","S02000384",0.00286543349652627
"S01002051",NA,"S12000036","Edinburgh_City_of","S02000378",0.00286543349652627
"S01002052",NA,"S12000036","Edinburgh_City_of","S02000377",0.0028450277790711
"S01002053",NA,"S12000036","Edinburgh_City_of","S02000379",0.0028450277790711
"S01002054",NA,"S12000036","Edinburgh_City_of","S02000370",0.00568665737357531
"S01002055",NA,"S12000036","Edinburgh_City_of","S02000386",0.00567071413450817
"S01002056",NA,"S12000036","Edinburgh_City_of","S02000380",0.00385304511490744
"S01002057",NA,"S12000036","Edinburgh_City_of","S02000383",0.00385304511490744
"S01002058",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002059",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002060",NA,"S12000036","Edinburgh_City_of","S02000379",0.00568665737357531
"S01002061",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002062",NA,"S12000036","Edinburgh_City_of","S02000378",0.00286543349652627
"S01002063",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002064",NA,"S12000036","Edinburgh_City_of","S02000377",0.0028450277790711
"S01002065",NA,"S12000036","Edinburgh_City_of","S02000379",0.00568665737357531
"S01002066",NA,"S12000036","Edinburgh_City_of","S02000379",0.00568665737357531
"S01002067",NA,"S12000036","Edinburgh_City_of","S02000383",0.00385304511490744
"S01002068",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002069",NA,"S12000036","Edinburgh_City_of","S02000380",0.00385304511490744
"S01002070",NA,"S12000036","Edinburgh_City_of","S02000387",0.00568665737357531
"S01002071",NA,"S12000036","Edinburgh_City_of","S02000379",0.00568665737357531
"S01002072",NA,"S12000036","Edinburgh_City_of","S02000380",0.0028450277790711
"S01002073",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002074",NA,"S12000036","Edinburgh_City_of","S02000384",0.00286543349652627
"S01002075",NA,"S12000036","Edinburgh_City_of","S02000380",0.0028450277790711
"S01002076",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002077",NA,"S12000036","Edinburgh_City_of","S02000388",0.0027772829403622
"S01002078",NA,"S12000036","Edinburgh_City_of","S02000369",0.0027772829403622
"S01002079",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002080",NA,"S12000036","Edinburgh_City_of","S02000384",0.00286543349652627
"S01002081",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002082",NA,"S12000036","Edinburgh_City_of","S02000389",0.0028450277790711
"S01002083",NA,"S12000036","Edinburgh_City_of","S02000378",0.00286543349652627
"S01002084",NA,"S12000036","Edinburgh_City_of","S02000381",0.0028450277790711
"S01002085",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002086",NA,"S12000036","Edinburgh_City_of","S02000387",0.00568665737357531
"S01002087",NA,"S12000036","Edinburgh_City_of","S02000387",0.00568665737357531
"S01002088",NA,"S12000036","Edinburgh_City_of","S02000386",0.00567071413450817
"S01002089",NA,"S12000036","Edinburgh_City_of","S02000383",0.00385304511490744
"S01002090",NA,"S12000036","Edinburgh_City_of","S02000386",0.00567071413450817
"S01002091",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002092",NA,"S12000036","Edinburgh_City_of","S02000383",0.00385304511490744
"S01002093",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002094",NA,"S12000036","Edinburgh_City_of","S02000382",0.00286543349652627
"S01002095",NA,"S12000036","Edinburgh_City_of","S02000390",0.00385304511490744
"S01002096",NA,"S12000036","Edinburgh_City_of","S02000388",0.0027772829403622
"S01002097",NA,"S12000036","Edinburgh_City_of","S02000384",0.00286543349652627
"S01002098",NA,"S12000036","Edinburgh_City_of","S02000382",0.00286543349652627
"S01002099",NA,"S12000036","Edinburgh_City_of","S02000389",0.0028450277790711
"S01002100",NA,"S12000036","Edinburgh_City_of","S02000384",0.00286543349652627
"S01002101",NA,"S12000036","Edinburgh_City_of","S02000387",0.00568665737357531
"S01002102",NA,"S12000036","Edinburgh_City_of","S02000392",0.00286543349652627
"S01002103",NA,"S12000036","Edinburgh_City_of","S02000388",0.0027772829403622
"S01002104",NA,"S12000036","Edinburgh_City_of","S02000387",0.00568665737357531
"S01002105",NA,"S12000036","Edinburgh_City_of","S02000390",0.0028450277790711
"S01002106",NA,"S12000036","Edinburgh_City_of","S02000393",0.00568665737357531
"S01002107",NA,"S12000036","Edinburgh_City_of","S02000395",0.00286543349652627
"S01002108",NA,"S12000036","Edinburgh_City_of","S02000393",0.00568665737357531
"S01002109",NA,"S12000036","Edinburgh_City_of","S02000385",0.0028450277790711
"S01002110",NA,"S12000036","Edinburgh_City_of","S02000389",0.0028450277790711
"S01002111",NA,"S12000036","Edinburgh_City_of","S02000394",0.00385304511490744
"S01002112",NA,"S12000036","Edinburgh_City_of","S02000386",0.00286543349652627
"S01002113",NA,"S12000036","Edinburgh_City_of","S02000388",0.00385304511490744
"S01002114",NA,"S12000036","Edinburgh_City_of","S02000383",0.00385304511490744
"S01002115",NA,"S12000036","Edinburgh_City_of","S02000389",0.0028450277790711
"S01002116",NA,"S12000036","Edinburgh_City_of","S02000396",0.00286543349652627
"S01002117",NA,"S12000036","Edinburgh_City_of","S02000393",0.00568665737357531
"S01002118",NA,"S12000036","Edinburgh_City_of","S02000393",0.00568665737357531
"S01002119",NA,"S12000036","Edinburgh_City_of","S02000392",0.00280550010657689
"S01002120",NA,"S12000036","Edinburgh_City_of","S02000388",0.0027772829403622
"S01002121",NA,"S12000036","Edinburgh_City_of","S02000392",0.00280550010657689
"S01002122",NA,"S12000036","Edinburgh_City_of","S02000390",0.0028450277790711
"S01002123",NA,"S12000036","Edinburgh_City_of","S02000394",0.00385304511490744
"S01002124",NA,"S12000036","Edinburgh_City_of","S02000382",0.00280550010657689
"S01002125",NA,"S12000036","Edinburgh_City_of","S02000386",0.00280550010657689
"S01002126",NA,"S12000036","Edinburgh_City_of","S02000395",0.00280550010657689
"S01002127",NA,"S12000036","Edinburgh_City_of","S02000396",0.00280550010657689
"S01002128",NA,"S12000036","Edinburgh_City_of","S02000389",0.00280789655442176
